sentence_index,agent,,,,,
438,Hank,,,,,
438,a small silver magnet,,,,,
438,a small silver magnet,,,,,
439,"by the Royal Gardener , who stuck the Royal Gardener 's head into the greenhouse and shouted angrily : "" You are all condemned to death",,,,,
439,the Royal Gardener,,,,,
439,the Royal Gardener,,,,,
441,This,,,,,
441,the Shaggy Man Man,,,,,
441,the Royal Gardener,,,,,
441,the Royal Gardener,,,,,
441,who,,,,,
441,the Royal Gardener,,,,,
441,the Royal Gardener,,,,,
443,the Royal Gardener,,,,,
445,you,,,,,
446,you,,,,,
447,the Royal Gardener,,,,,
447,the Royal Gardener,,,,,
447,the Royal Gardener,,,,,
448,to tell you this bad news,,,,,
448,the Law,,,,,
448,by the Ruler,,,,,
449,No Ruler,,,,,
449,Betsy Bobbin,,,,,
450,Shaggy Man,,,,,
451,us,,,,,
452,the Royal Gardener,,,,,
452,us,,,,,
453,You,,,,,
453,we,,,,,
454,we,,,,,
455,you,,,,,
455,Betsy Bobbin,,,,,
457,you,,,,,
458,you,,,,,
458,you,,,,,
459,I,,,,,
459,I,,,,,
460,Betsy Bobbin,,,,,
461,Betsy Bobbin,,,,,
461,Betsy Bobbin,,,,,
462,you,,,,,
462,you,,,,,
464,I,,,,,
465,Shaggy Man,,,,,
465,I,,,,,
466,I,,,,,
466,I,,,,,
467,"Shaggy Man , Betsy Bobbin and Hank",,,,,
468,several enormous rosebushes,,,,,
470,"the members of the Royal Family of the Rose Kingdom -- men , women and children in all stages of maturity",,,,,
471,the members of the Royal Family of the Rose Kingdom --,,,,,
471,the members of the Royal Family of the Rose Kingdom --,,,,,
471,"and the members of the Royal Family of the Rose Kingdom -- men , women and children in all stages of maturity 's wide open eyes",,,,,
472,Betsy Bobbin,,,,,
472,Betsy Bobbin,,,,,
473,"a Royal Chamberlain Princess , whose beauty was amazing",,,,,
474,Betsy Bobbin,,,,,
474,Betsy Bobbin,,,,,
474,Betsy Bobbin,,,,,
475,"the Royal Gardener , who had come to she is side",,,,,
475,we,,,,,
476,Betsy Bobbin,,,,,
476,Betsy Bobbin,,,,,
477,You,,,,,
477,"the Royal Gardener , who had come to the girl 's side",,,,,
477,the subjects of we,,,,,
478,They,,,,,
480,They,,,,,
482,Shaggy Man,,,,,
482,Shaggy Man,,,,,
484,we,,,,,
485,The Royal Gardener,,,,,
485,Betsy Bobbin,,,,,
485,we,,,,,
486,her companion,,,,,
487,she,,,,,
487,we,,,,,
487,she,,,,,
487,she,,,,,
488,Betsy Bobbin and Shaggy Man each,,,,,
488,a little twist of the beautiful Rose Princess Princess 's feet,,,,,
489,the beautiful Rose Princess Princess,,,,,
489,the beautiful Rose Princess Princess,,,,,
489,the beautiful Rose Princess Princess,,,,,
490,the Royal Gardener and the Roses,,,,,
491,one of the Roses,,,,,
493,you,,,,,
493,Betsy Bobbin,,,,,
494,you,,,,,
494,you,,,,,
495,you,,,,,
496,a Jacque,,,,,
496,another,,,,,
496,No girl,,,,,
497,a Princess,,,,,
500,her,,,,,
502,by mortals,,,,,
502,the Moss Rose,,,,,
502,pretty subjects,,,,,
502,pretty subjects,,,,,
502,her,,,,,
503,the Tea Rose,,,,,
504,please!Royal Gardener,,,,,
505,Royal Gardener,,,,,
505,the Love Magnet,,,,,
506,the others,,,,,
507,Princess Rose Princess,,,,,
507,Princess Rose Princess,,,,,
507,the Roses,,,,,
508,Shaggy Man,,,,,
509,the Magnet,,,,,
510,I,,,,,
510,I,,,,,
510,I,,,,,
511,the Roses,,,,,
512,the Royal Gardener,,,,,
514,They 's stems,,,,,
515,The Princess,,,,,
515,The Princess,,,,,
516,The Princess,,,,,
517,she,,,,,
520,the Roses,,,,,
521,Royal Gardener,,,,,
522,You,,,,,
522,me,,,,,
522,me,,,,,
522,You,,,,,
522,me,,,,,
522,You,,,,,
522,You,,,,,
524,me dote on You!me,,,,,
524,no true man,,,,,
525,You,,,,,
526,he,,,,,
526,he,,,,,
526,he,,,,,
526,he,,,,,
526,the strangers,,,,,
527,Hank the mule,,,,,
527,he,,,,,
528,the Roses,,,,,
529,Neither Betsy Bobbin nor Rose Princess nor he nor Hank the mule,,,,,
529,Neither Betsy Bobbin nor Rose Princess nor he nor Hank the mule,,,,,
529,the strangers,,,,,
529,the strangers,,,,,
531,The Rose Princess Princess,,,,,
531,Hank,,,,,
531,the Shaggy Man Man,,,,,
532,the Royal Gardener,,,,,
533,the Royal Gardener,,,,,
533,the Royal Gardener,,,,,
533,the outcasts,,,,,
534,the Shaggy Man Man,,,,,
534,the Shaggy Man Man,,,,,
534,the Shaggy Man Man,,,,,
535,the Shaggy Man Man,,,,,
535,the Shaggy Man Man,,,,,
535,the Shaggy Man Man,,,,,
536,Hank and I,,,,,
536,you,,,,,
536,I,,,,,
537,I,,,,,
537,I,,,,,
538,Hank,,,,,
539,Hank,,,,,
539,the Shaggy Man,,,,,
540,my,,,,,
541,I,,,,,
541,the Shaggy Man,,,,,
542,the Shaggy Man,,,,,
543,the Shaggy Man,,,,,
543,the Shaggy Man,,,,,
543,the Shaggy Man,,,,,
544,the Metal Monarch,,,,,
544,the Metal Monarch,,,,,
544,the Metal Monarch,,,,,
545,anyone,,,,,
545,Betsy Bobbin,,,,,
546,Some _ one,,,,,
548,we,,,,,
548,we,,,,,
548,we,,,,,
548,a person,,,,,
548,a person,,,,,
549,we,,,,,
549,Betsy Bobbin,,,,,
550,Who,,,,,
551,No one,,,,,
551,the person,,,,,
551,the person who is writing this story,,,,,
551,the person,,,,,
552,we,,,,,
552,we,,,,,
554,we,,,,,
554,we,,,,,
554,a path,,,,,
555,Polly the Rainbow,,,,,
556,That,,,,,
556,That,,,,,
556,the Rainbow,,,,,
556,the Rainbow,,,,,
557,few,,,,,
558,you,,,,,
558,we,,,,,
